%CPU     ELAPSED
11.9       32:26
%CPU     ELAPSED
11.9       32:31
%CPU     ELAPSED
11.9       32:36
%CPU     ELAPSED
11.9       32:41
%CPU     ELAPSED
11.9       32:46
%CPU     ELAPSED
11.9       32:51
%CPU     ELAPSED
11.9       32:56
%CPU     ELAPSED
11.9       33:01
%CPU     ELAPSED
11.9       33:06
%CPU     ELAPSED
11.9       33:11
%CPU     ELAPSED
11.9       33:17
%CPU     ELAPSED
11.9       33:22
%CPU     ELAPSED
11.9       33:27
%CPU     ELAPSED
11.9       33:32
%CPU     ELAPSED
11.9       33:37
%CPU     ELAPSED
11.9       33:42
%CPU     ELAPSED
11.9       33:47
%CPU     ELAPSED
11.9       33:52
%CPU     ELAPSED
11.9       33:57
%CPU     ELAPSED
11.9       34:02
%CPU     ELAPSED
11.9       34:08
%CPU     ELAPSED
11.9       34:13
%CPU     ELAPSED
11.9       34:18
%CPU     ELAPSED
11.9       34:23
%CPU     ELAPSED
11.9       34:28
%CPU     ELAPSED
11.9       34:33
%CPU     ELAPSED
11.9       34:38
%CPU     ELAPSED
11.9       34:43
%CPU     ELAPSED
11.9       34:48
%CPU     ELAPSED
11.9       34:53
%CPU     ELAPSED
11.9       34:59
%CPU     ELAPSED
11.9       35:04
%CPU     ELAPSED
11.9       35:09
%CPU     ELAPSED
11.9       35:14
%CPU     ELAPSED
11.9       35:19
%CPU     ELAPSED
11.9       35:24
%CPU     ELAPSED
11.9       35:29
%CPU     ELAPSED
11.9       35:34
%CPU     ELAPSED
11.9       35:39
%CPU     ELAPSED
11.9       35:44
%CPU     ELAPSED
11.9       35:49
%CPU     ELAPSED
11.9       35:55
%CPU     ELAPSED
11.9       36:00
%CPU     ELAPSED
11.9       36:05
%CPU     ELAPSED
11.9       36:10
%CPU     ELAPSED
11.9       36:15
%CPU     ELAPSED
11.9       36:20
%CPU     ELAPSED
11.9       36:25
%CPU     ELAPSED
11.9       36:30
%CPU     ELAPSED
11.9       36:35
%CPU     ELAPSED
11.9       36:40
%CPU     ELAPSED
11.9       36:45
%CPU     ELAPSED
11.9       36:51
%CPU     ELAPSED
11.9       36:56
%CPU     ELAPSED
11.9       37:01
%CPU     ELAPSED
11.9       37:06
%CPU     ELAPSED
11.9       37:11
%CPU     ELAPSED
11.9       37:16
%CPU     ELAPSED
11.9       37:21
%CPU     ELAPSED
11.9       37:26
%CPU     ELAPSED
11.9       37:31
%CPU     ELAPSED
11.9       37:36
%CPU     ELAPSED
11.9       37:42
%CPU     ELAPSED
11.9       37:47
%CPU     ELAPSED
11.9       37:52
%CPU     ELAPSED
11.9       37:57
%CPU     ELAPSED
11.9       38:02
%CPU     ELAPSED
11.9       38:07
%CPU     ELAPSED
11.9       38:12
%CPU     ELAPSED
11.9       38:17
%CPU     ELAPSED
11.9       38:22
