%CPU     ELAPSED
 8.6       24:37
%CPU     ELAPSED
 8.6       24:42
%CPU     ELAPSED
 8.6       24:47
%CPU     ELAPSED
 8.6       24:53
%CPU     ELAPSED
 8.6       24:58
%CPU     ELAPSED
 8.6       25:03
%CPU     ELAPSED
 8.6       25:08
%CPU     ELAPSED
 8.6       25:13
%CPU     ELAPSED
 8.6       25:18
%CPU     ELAPSED
 8.6       25:23
%CPU     ELAPSED
 8.6       25:29
%CPU     ELAPSED
 8.6       25:34
%CPU     ELAPSED
 8.6       25:39
%CPU     ELAPSED
 8.6       25:44
%CPU     ELAPSED
 8.6       25:49
%CPU     ELAPSED
 8.6       25:54
%CPU     ELAPSED
 8.6       26:00
%CPU     ELAPSED
 8.6       26:05
%CPU     ELAPSED
 8.6       26:10
%CPU     ELAPSED
 8.6       26:15
%CPU     ELAPSED
 8.6       26:20
%CPU     ELAPSED
 8.6       26:25
%CPU     ELAPSED
 8.6       26:30
%CPU     ELAPSED
 8.6       26:36
%CPU     ELAPSED
 8.6       26:41
%CPU     ELAPSED
 8.6       26:46
%CPU     ELAPSED
 8.6       26:51
%CPU     ELAPSED
 8.6       26:56
%CPU     ELAPSED
 8.6       27:01
%CPU     ELAPSED
 8.6       27:06
%CPU     ELAPSED
 8.6       27:12
%CPU     ELAPSED
 8.6       27:17
%CPU     ELAPSED
 8.6       27:22
%CPU     ELAPSED
 8.6       27:27
%CPU     ELAPSED
 8.6       27:32
%CPU     ELAPSED
 8.6       27:37
%CPU     ELAPSED
 8.6       27:42
%CPU     ELAPSED
 8.6       27:48
%CPU     ELAPSED
 8.6       27:53
%CPU     ELAPSED
 8.6       27:58
%CPU     ELAPSED
 8.6       28:03
%CPU     ELAPSED
 8.6       28:08
%CPU     ELAPSED
 8.6       28:13
%CPU     ELAPSED
 8.6       28:18
%CPU     ELAPSED
 8.6       28:24
%CPU     ELAPSED
 8.6       28:29
%CPU     ELAPSED
 8.6       28:34
%CPU     ELAPSED
 8.6       28:39
%CPU     ELAPSED
 8.6       28:44
%CPU     ELAPSED
 8.6       28:49
%CPU     ELAPSED
 8.6       28:54
%CPU     ELAPSED
 8.6       29:00
%CPU     ELAPSED
 8.6       29:05
%CPU     ELAPSED
 8.6       29:10
%CPU     ELAPSED
 8.6       29:15
%CPU     ELAPSED
 8.6       29:20
%CPU     ELAPSED
 8.6       29:25
%CPU     ELAPSED
 8.6       29:30
%CPU     ELAPSED
 8.6       29:36
%CPU     ELAPSED
 8.6       29:41
%CPU     ELAPSED
 8.6       29:46
%CPU     ELAPSED
 8.6       29:51
%CPU     ELAPSED
 8.6       29:56
%CPU     ELAPSED
 8.6       30:01
%CPU     ELAPSED
 8.6       30:06
%CPU     ELAPSED
 8.6       30:12
%CPU     ELAPSED
 8.6       30:17
%CPU     ELAPSED
 8.6       30:22
%CPU     ELAPSED
 8.6       30:27
%CPU     ELAPSED
 8.6       30:32
%CPU     ELAPSED
 8.6       30:37
%CPU     ELAPSED
 8.6       30:42
%CPU     ELAPSED
 8.6       30:48
%CPU     ELAPSED
 8.6       30:53
%CPU     ELAPSED
 8.6       30:58
%CPU     ELAPSED
 8.6       31:03
%CPU     ELAPSED
 8.6       31:08
%CPU     ELAPSED
 8.6       31:13
%CPU     ELAPSED
 8.6       31:18
%CPU     ELAPSED
 8.6       31:24
%CPU     ELAPSED
 8.6       31:29
%CPU     ELAPSED
 8.6       31:34
%CPU     ELAPSED
 8.6       31:39
%CPU     ELAPSED
 8.6       31:44
%CPU     ELAPSED
 8.6       31:49
%CPU     ELAPSED
 8.6       31:54
%CPU     ELAPSED
 8.6       32:00
%CPU     ELAPSED
 8.6       32:05
%CPU     ELAPSED
 8.6       32:10
%CPU     ELAPSED
 8.6       32:15
%CPU     ELAPSED
 8.6       32:20
%CPU     ELAPSED
 8.6       32:25
%CPU     ELAPSED
 8.6       32:30
%CPU     ELAPSED
 8.6       32:36
%CPU     ELAPSED
 8.6       32:41
%CPU     ELAPSED
 8.6       32:46
%CPU     ELAPSED
 8.6       32:51
%CPU     ELAPSED
 8.6       32:56
%CPU     ELAPSED
 8.6       33:01
%CPU     ELAPSED
 8.6       33:06
%CPU     ELAPSED
 8.6       33:12
%CPU     ELAPSED
 8.6       33:17
%CPU     ELAPSED
 8.6       33:22
%CPU     ELAPSED
 8.6       33:27
%CPU     ELAPSED
 8.6       33:32
%CPU     ELAPSED
 8.6       33:37
%CPU     ELAPSED
 8.6       33:42
%CPU     ELAPSED
 8.6       33:48
%CPU     ELAPSED
 8.6       33:53
%CPU     ELAPSED
 8.6       33:58
%CPU     ELAPSED
 8.6       34:03
%CPU     ELAPSED
 8.6       34:08
%CPU     ELAPSED
 8.6       34:13
%CPU     ELAPSED
 8.6       34:18
%CPU     ELAPSED
 8.6       34:24
%CPU     ELAPSED
 8.6       34:29
%CPU     ELAPSED
 8.6       34:34
%CPU     ELAPSED
 8.6       34:39
%CPU     ELAPSED
 8.6       34:44
%CPU     ELAPSED
 8.6       34:49
%CPU     ELAPSED
 8.6       34:54
%CPU     ELAPSED
 8.6       35:00
%CPU     ELAPSED
 8.6       35:05
%CPU     ELAPSED
 8.6       35:10
%CPU     ELAPSED
 8.6       35:15
%CPU     ELAPSED
 8.6       35:20
%CPU     ELAPSED
 8.6       35:25
%CPU     ELAPSED
 8.6       35:30
%CPU     ELAPSED
 8.6       35:36
%CPU     ELAPSED
 8.6       35:41
%CPU     ELAPSED
 8.6       35:46
%CPU     ELAPSED
 8.6       35:51
%CPU     ELAPSED
 8.6       35:56
%CPU     ELAPSED
 8.6       36:01
%CPU     ELAPSED
 8.6       36:06
%CPU     ELAPSED
 8.6       36:12
%CPU     ELAPSED
 8.6       36:17
%CPU     ELAPSED
 8.6       36:22
%CPU     ELAPSED
 8.6       36:27
%CPU     ELAPSED
 8.6       36:32
%CPU     ELAPSED
 8.6       36:37
%CPU     ELAPSED
 8.6       36:42
%CPU     ELAPSED
 8.6       36:48
%CPU     ELAPSED
 8.6       36:53
%CPU     ELAPSED
 8.6       36:58
%CPU     ELAPSED
 8.6       37:03
%CPU     ELAPSED
 8.6       37:08
%CPU     ELAPSED
 8.6       37:13
%CPU     ELAPSED
 8.6       37:18
%CPU     ELAPSED
 8.6       37:24
%CPU     ELAPSED
 8.6       37:29
%CPU     ELAPSED
 8.6       37:34
%CPU     ELAPSED
 8.6       37:39
%CPU     ELAPSED
 8.6       37:44
%CPU     ELAPSED
 8.6       37:49
%CPU     ELAPSED
 8.6       37:54
%CPU     ELAPSED
 8.6       37:59
%CPU     ELAPSED
 8.6       38:05
%CPU     ELAPSED
 8.6       38:10
%CPU     ELAPSED
 8.6       38:15
%CPU     ELAPSED
 8.6       38:20
%CPU     ELAPSED
 8.6       38:25
%CPU     ELAPSED
 8.6       38:30
%CPU     ELAPSED
 8.6       38:35
%CPU     ELAPSED
 8.6       38:41
%CPU     ELAPSED
 8.6       38:46
%CPU     ELAPSED
 8.6       38:51
%CPU     ELAPSED
 8.6       38:56
%CPU     ELAPSED
 8.6       39:01
%CPU     ELAPSED
 8.6       39:06
%CPU     ELAPSED
 8.6       39:11
%CPU     ELAPSED
 8.6       39:17
%CPU     ELAPSED
 8.6       39:22
%CPU     ELAPSED
 8.6       39:27
%CPU     ELAPSED
 8.6       39:32
%CPU     ELAPSED
 8.6       39:37
%CPU     ELAPSED
 8.6       39:42
%CPU     ELAPSED
 8.6       39:48
%CPU     ELAPSED
 8.6       39:53
%CPU     ELAPSED
 8.6       39:58
%CPU     ELAPSED
 8.6       40:03
%CPU     ELAPSED
 8.6       40:08
%CPU     ELAPSED
 8.6       40:13
%CPU     ELAPSED
 8.6       40:18
%CPU     ELAPSED
 8.6       40:24
